项目ID,项目,日期,事件类型,事件,说明,资料标题,资料链接
MHP036,Ravensthorpe Nickel Operations (RNO) 雷文斯索普镍业,2020,经营,完成重启,项目在维护后于2020年恢复生产，重新成为MHP供应来源；重启节点不表示之后一直保持满负荷。,First Quantum Ravensthorpe运营页,https://www.first-quantum.com/operations/ravensthorpe/
MHP048,Ambatovy Minerals S.A. / Dynatec Madagascar S.A. 安巴托维镍钴项目,2020,经营,项目暂停生产,项目资料记载Ambatovy在2020年暂停生产，属于历史运营中断；停产后于次年恢复。,住友商事2025财年法定报告,https://www.sumitomocorp.com/-/media/Files/hq/ir/report/yuho/2025/202603yuho.pdf?sc_lang=en
NPI034,PT Walsin Nickel Industrial Indonesia (WNII) 印尼华新镍业,2020,建设,公司进入印尼NPI投资,华新公司沿革将2020年列为进入印尼NPI业务的节点，形成WNII项目基础；这一节点是投资和项目形成时间，不等于生产线已经完成。,Walsin公司沿革,https://www.walsin.com/about-us/who-we-are/
NPI055,PT Huadi Nickel-Alloy Indonesia 华迪镍合金,2020,规划,提出扩建至六条RKEF,华迪提出把项目扩建至六条RKEF。该信息属于扩产计划，现有资料没有证明六条线在同年全部建成。,SEAISI转引华迪扩建说明,https://www.seaisi.org/details/1582?type=technology-steel-applications
NPI061,PT Artabumi Sentra Industri (ASI) 阿尔塔布米工业,2020,合同,签署高炉运营与扩建框架,Silkroad与R&S提出设立新公司，运营最多12座高炉，并保留购买相关资产的选择权；TAS拟按数量和质量要求供矿。协议附带付款和完善条件，不能视为整体收购已经完成。,Silkroad NPI冶炼合作框架,https://links.sgx.com/FileOpen/Silkroad%20Nickel-NPI%20smelter%20agreement%20FINAL.ashx?AnncID=KNZRVPKY0AN1K0UF&App=ArchiveAnnouncement&FileID=589541
NPI064,PT Asia Mining Minerals 亚洲矿业矿产,2020,建设,工程进度披露为30.30%,2020年《Tambang》杂志将项目进度列为30.30%。相较2018年有所推进，但资料仍未给出首炉NPI或商业销售时间。,Tambang杂志2020年4—5月号,https://esdm.acehprov.go.id/media/2020.10/Majalah_TAMBANG_Edisi_No_154_April-Mei_2020.pdf
NPI035,PT Bukit Smelter Indonesia (BSI) 布吉特冶炼,2020Q1,投产,BSI开始运营,MBMA项目资料记载Bukit Smelter Indonesia于2020年初投入运营，作为莫罗瓦利上游RKEF厂生产NPI。该时间确认工厂投运，不代表此后各季度满负荷。,MBMA RKEF Smelters,https://merdekabattery.com/id/business/rkef-smelters
NPI036,PT Cahaya Smelter Indonesia (CSI) 卡哈亚冶炼,2020年初,投产,CSI投入运行,MBMA项目资料记载CSI于2020年初投运，配置两条RKEF，额定能力为每年1.9万镍金属吨，主要产品为NPI。,MBMA RKEF Smelters,https://merdekabattery.com/id/business/rkef-smelters
MHP006,PT Huayue Nickel Cobalt (HNC) 华越镍钴,2020-03-01,建设,华越项目开工,华友建设团队回顾明确华越湿法项目于2020年3月1日开工，随后经历设计、施工和设备安装；该日期是建设起点，不是试生产或商业达产日期。,华友：华越建设与生产团队回顾，2024年6月,https://www.huayou.com/news/press-release/328.html
NPI009,PT Weda Bay Nickel (WBN) 纬达贝镍业,2020-04-30,投产,冶炼厂首炉出铁,Eramet官方公告回溯Weda Bay Nickel于2020年4月30日完成首炉出铁，确认RKEF冶炼设施进入生产阶段；后续各线投运和爬坡仍应另行判断。,Eramet：Weda Bay Nickel首批镍铁销售，2020年9月,https://www.eramet.com/en/news/first-weda-bay-nickel-ferroalloy-sale-by-eramet/
NPI007,PT Yashi Indonesia Investment 雅石投资,2020-06-22,投产,雅石镍铁项目投产,振石集团项目介绍记载雅石于2020年6月22日投产，配置四条RKEF生产线，官网列示年产30万吨镍铁实物能力；该能力应与含镍金属量口径分开。,振石集团官网Yashi项目介绍,https://en.zhenshigroup.com/news/94.html
NPI006,PT Langit Metal Industry 蓝天金属工业,2020-07,股权,签署股权转让协议,香港邦普时代、Best Joint、Rocy Development与青山方面签署股权转让安排，为宁德时代体系取得蓝天国际控制权奠定交易基础；签约日与后续交割日分开记录。,宁德时代2021年半年度报告,https://pdf.dfcfw.com/pdf/H2_AN202108251512355735_1.pdf
NPI008,PT Youshan Nickel Indonesia 友山镍业,2020-09,投产,项目开始试产,四条RKEF在2020年9月进入试生产，产品路线可在镍铁与低冰镍之间安排。,坤元：友山股权收购资产评估报告,https://m.600711.com/uploads/20240815/600711_ST%E7%9B%9B%E5%B1%AF_2024_08_13_ST%E7%9B%9B%E5%B1%AF_%E5%9D%A4%E5%85%83%E8%B5%84%E4%BA%A7%E8%AF%84%E4%BC%B0%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%85%B3%E4%BA%8E%E7%9B%9B%E5%B1%AF%E7%9F%BF%E4%B8%9A%E9%9B%86%E5%9B%A2%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E6%8B%9F%E6%94%B6%E8%B4%AD%E8%82%A1%E6%9D%83%E6%B6%89%E5%8F%8A%E7%9A%84PTYoushanNickelIndon_66bd6c7a7e2bb.pdf
NPI014,PT Jiu Long Metal Industry 九龙金属工业,2020-09,股权,JLMI公司成立,PT Jiu Long Metal Industry于2020年9月成立，随后在纬达贝园区建设RKEF镍铁项目。,ANTAM 2026年联营企业披露,https://company-announcements.afr.com/asx/atm/e01c4e73-44e2-11f1-a516-66b9b66caad8.pdf
NPI009,PT Weda Bay Nickel (WBN) 纬达贝镍业,2020-09-17,经营,Eramet渠道首批货物装运,"Eramet公告其渠道首批约7,000吨镍铁于9月17日装船，买方为中国客户；这是Eramet所占产品的首批装运，不应扩大为WBN全部销售渠道的首次交易。",Eramet：Weda Bay Nickel首批镍铁销售，2020年9月,https://www.eramet.com/en/news/first-weda-bay-nickel-ferroalloy-sale-by-eramet/
NPI022,PT Huake Nickel Indonesia 华科镍业,2020-10-17,规划,华科高冰镍项目投资公告,华友公告建设年产4.5万镍金属吨高冰镍项目，路线由华科NPI、友山低冰镍加工及华科后段转换衔接。公告目标属于投资规划，不是投产事实。,华友：华科4.5万镍金属吨高冰镍项目公告,https://file.finance.sina.com.cn/211.154.219.97%3A9494/MRGG/CNSESH_STOCK/2020/2020-10/2020-10-17/6659932.PDF
MHP021,PT Ceria Kobalt Indotama (CKI) 塞里亚科巴尔特镍钴项目,2020-11,合同,CKI签署HPAL及电力合作,WIKA年报披露其于2020年11月与Ceria Kobalt Indotama签署湿法冶炼和配套电力项目合作，确认工程合作框架；协议不是开工或投产证明。,WIKA2020年年度报告,https://investor.wika.co.id/newsroom/460a257245_aec0098cf2.pdf
MHP003,PT Halmahera Persada Lygend (HPL) 奥比岛力勤HPL湿法项目,2021,建设,二期开始建设,HPL在一期投运后于2021年启动二期建设，利用既有矿源和基础设施继续扩充湿法能力；二期直到2023年3月才完成。,Harita 2022年年度报告,https://tbpnickel.com/files/pdf_assets/Laporan%20Tahunan%202022.pdf
MHP035,Prony Resources New Caledonia SAS 普罗尼戈罗镍钴项目,2021,股权,Goro资产转入Prony并重启,Prony公司介绍记载原Vale Goro资产在2021年重组后转入Prony Resources体系并恢复运行，历史股权结构为当地权益51%、Trafigura 19%、CFP 30%。,Prony Resources公司与产品介绍,https://www.pronyresources.com/fr/prony-resources
MHP036,Ravensthorpe Nickel Operations (RNO) 雷文斯索普镍业,2021,股权,POSCO购入30%权益,POSCO取得Ravensthorpe 30%权益，服务其电池材料布局；到2025年报该比例已变为24.3%，不能沿用70/30作为当前结构。,First Quantum2025年报,https://www.first-quantum.com/wp-content/uploads/2026/03/First-Quantum-2025-AR-Final-Web.pdf
MHP039,Hellenic Minerals Ltd — Skouriotissa 希腊矿业斯库里奥蒂萨项目,2021,建设,六水硫酸镍设施完成,Fastmarkets报道Hellenic Minerals完成六水硫酸镍设施，使此前的MHP中间品能够继续加工为硫酸镍晶体。,Fastmarkets：Hellenic硫酸镍设施与Arrow委托加工,https://www.fastmarkets.com/insights/hellenic-minerals-completes-nickel-sulfate-hexahydrate-facility-in-cyprus/
MHP046,Terrafame Ltd 特拉法姆索特卡莫项目,2021,投产,电池化学品厂投入运营,Terrafame随后建成电池化学品精炼厂，使内部镍钴硫化物可进一步制硫酸镍；中间品和硫酸镍所含金属不能重复统计。,Terrafame2026H1运营报告,https://www.terrafame.com/newsroom/news/terrafames-january-june-2026-strategy-execution-progressed-as-planned-and-profitability-improved.html
MHP048,Ambatovy Minerals S.A. / Dynatec Madagascar S.A. 安巴托维镍钴项目,2021,经营,项目恢复生产,Ambatovy在2021年恢复生产，重新运行矿山、浆体管道和Toamasina冶炼精炼链。,住友商事2025财年法定报告,https://www.sumitomocorp.com/-/media/Files/hq/ir/report/yuho/2025/202603yuho.pdf?sc_lang=en
NPI008,PT Youshan Nickel Indonesia 友山镍业,2021,投产,达到规划生产能力,资产评估材料记载友山在试产次年达到规划能力，设计规模为每年3.4万镍金属吨。,坤元：友山股权收购资产评估报告,https://m.600711.com/uploads/20240815/600711_ST%E7%9B%9B%E5%B1%AF_2024_08_13_ST%E7%9B%9B%E5%B1%AF_%E5%9D%A4%E5%85%83%E8%B5%84%E4%BA%A7%E8%AF%84%E4%BC%B0%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%85%B3%E4%BA%8E%E7%9B%9B%E5%B1%AF%E7%9F%BF%E4%B8%9A%E9%9B%86%E5%9B%A2%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E6%8B%9F%E6%94%B6%E8%B4%AD%E8%82%A1%E6%9D%83%E6%B6%89%E5%8F%8A%E7%9A%84PTYoushanNickelIndon_66bd6c7a7e2bb.pdf
NPI015,PT Perkasa Metal Industry 佩尔卡萨金属工业,2021,资料披露,列入政府在建项目表,印尼ESDM项目表列示Perkasa历史规划，包括矿石进料、NPI实物量与品位区间；这是当时建设口径，不能反推为已验收镍吨能力或实际产量。,印尼ESDM《Grand Strategy Mineral dan Batubara》,https://www.esdm.go.id/assets/media/content/content-buku-grand-strategy-komoditas-minerba.pdf
NPI017,PT Lipe Metal Industry 利佩金属工业,2021,资料披露,政府资料列为在建项目,印尼能源矿产部把Lipe列为在建项目，规划年处理矿石360万吨、生产NPI实物30万吨，产品含镍约10%至15%。该口径是当时规划，未给出首产日。,印尼ESDM矿产煤炭战略,https://www.esdm.go.id/assets/media/content/content-buku-grand-strategy-komoditas-minerba.pdf
NPI018,PT Maluku Utara Metal Industry 北马鲁古金属工业,2021,资料披露,列入政府在建项目表,印尼ESDM历史项目表列出Maluku Utara Metal的NPI建设规划、矿石进料及实物产品口径；该表不能证明当年已投产，也不能把实物吨视作镍吨。,印尼ESDM《Grand Strategy Mineral dan Batubara》,https://www.esdm.go.id/assets/media/content/content-buku-grand-strategy-komoditas-minerba.pdf
NPI034,PT Walsin Nickel Industrial Indonesia (WNII) 印尼华新镍业,2021,建设,生产线建设完成,华新沿革称WNII生产线于2021年建设完成，和2月单炉启动共同说明项目逐步投运；完成建设不代表当年立即实现全线达产。,Walsin公司沿革,https://www.walsin.com/about-us/who-we-are/
NPI042,PT Virtue Dragon Nickel Industry (VDNI) 德龙一期,2021,股权,中国一重取得穿透23%权益,中国一重通过中品圣德取得VDNI穿透23%权益，形成一重集团、上市公司、江苏德龙等多方持股结构；股权交易与工厂原有生产历史分开。,中国一重2021第一次临时股东大会文件,https://pdf.dfcfw.com/pdf/H2_AN202106301500933050_1.pdf
NPI053,PT Bahodopi Nickel Smelting Indonesia (BNSI) 巴哈多比镍冶炼,2021,合同,签署FeNi项目合作框架,Vale与TISCO、Xinhai签署Bahodopi镍铁项目框架，历史方案设计约7.3万镍吨FeNi；该协议和能力属于规划，不代表RKEF已建设完成。,Vale2021年报,https://vale-uat.lxc.liferay.com/documents/d/guest/2021-annual-report-pt-vale-indonesia-tbk
NPI054,PT Wanxiang Nickel Indonesia 万向镍业,2021,股权,盛屯体系投资10%权益,盛屯年报问询回复确认宏盛国际于2021年投资万向项目10%权益，并按股比投入股权和股东借款；该投资节点早于各高炉投产。,盛屯关于2024年报问询回复,https://movie.600711.com/uploads/pdfs/176007645540963.pdf
NPI057,PT Metal Smeltindo Selaras (MSS) 青岛中程MSS镍铁项目,2021,股权,控股股东取得MSS控制,青岛中程问询回复称其控股股东青岛城投金控通过战略入股实现对MSS控制，确认股权和控制关系变化；公开资料未给出对应的设备投产日。,青岛中程2021问询回复,https://static.cninfo.com.cn/finalpage/2021-05-13/1209971488.PDF
NPI059,PT Artha Mining Industry 阿尔塔矿业,2021,规划,政府表列建设规划,ESDM历史冶炼项目表列Artha Mining Industry规划年处理矿石200万吨、生产NPI实物20万吨，并给出2023目标；该目标不能当作实际投产。,ESDM历史冶炼项目表,https://www.minerba.esdm.go.id/upload/file_menu/20210114111446.pdf
NPI047,PT Halmahera Jaya Feronikel (HJF) 力勤哈利达HJF镍铁项目,2021-01,建设,HJF开始建设,力勤资源资料将HJF八条RKEF项目的建设起点列为2021年1月。项目位于Obi岛，设计能力合计每年9.5万镍金属吨。,力勤资源2026年中期报告,https://ir-upload.realxen.net/iis/2245/uploads/iis/2026/12330820-0.PDF
MHP039,Hellenic Minerals Ltd — Skouriotissa 希腊矿业斯库里奥蒂萨项目,2021Q1,经营,报告MHP中间品生产,Hellenic Minerals运营资料记录2021年第一季度已生产MHP中间品；该MHP随后在厂内继续加工，公开资料未证明其长期作为商品外售。,Hellenic Minerals运营介绍,https://www.hellenicminerals.com/en/operations/
NPI019,PT Lin Victor Metal Industry 林维克金属工业,2021Q3,资料披露,进入工业部门项目记录,印尼工业部2021年第三季度工作报告已经出现林维克项目线索，说明企业当时已进入工业项目管理范围；资料未给出可核实的首产日和逐炉设备表。,印尼工业部ILMATE2021Q3工作报告,https://ilmate.kemenperin.go.id/files/document/1652024002-PP%2039%20Triwulan%20III%20%202021%20Ditjen%20ILMATE%20Final.pdf
NPI034,PT Walsin Nickel Industrial Indonesia (WNII) 印尼华新镍业,2021-02-09,投产,新电炉启动,SEAISI资料记载WNII新电炉启动，项目建设由安装调试转入生产阶段；同期目标为3万至3.6万含镍吨，仍须与实际产量区分。,SEAISI February 2021 Newsletter,https://adsm-bk.seaisi.org/download-newsletter?file=eyJpdiI6ImsySjI4bDV4ZExJZ0Q0Q29XcDczQVE9PSIsInZhbHVlIjoiQzRXV0JzM2JcL2s5eGhWQk45VlF5WXRMdDVRWjYxNzN1N2Zwb2JKc2xsT2t4VXYwWjVzbzdSQ2R0Vks5NTl6c0ciLCJtYWMiOiI2ZjM1Nzk3YTZhMzk3MjFiYWExMjU3NDhkNzZkMTI3MmUzZTEwZmYxYTczMGQ1NTc1NDZhYTk4MzgxNzlmNmFiIn0%3D&title=SEAISI+Newsletter+February+2021
NPI006,PT Langit Metal Industry 蓝天金属工业,2021-03-13,投产,第四条RKEF启动,行业协会资料记载Langit第四条RKEF生产线启动，说明四线建设已推进至生产阶段；该报道不是政府验收文件，也不代表此后各线持续满负荷。,SEAISI Newsletter，2021年3月,https://adsm-bk.seaisi.org/download-newsletter?file=eyJpdiI6ImY3MlM2bTRuTEF5azh5Y3Y4bjBxTVE9PSIsInZhbHVlIjoiaFoxZjJmSDc3MjRQdmtkd2ZvdGIxTWVKbnIybEtJNzBScmJBUzd1bFwvY1h4blZ0enpOc0R1bVFcL1J5b25PUmVrIiwibWFjIjoiMThjYmYzNWE0OWEzYjhmYjA5OTliNGRiNzY4ZTllNDg1OTdlNTMyMGQ0NzBmNTk0YjRmMjEzMTllYjE2ZDY2NCJ9&title=SEAISI+Newsletter+March+2021
NPI073,PT Cahaya Modern Metal Industri (CMMI) 现代金属工业,2021-04-06,经营,国会访问运营工厂,印尼国会现场记录Cikande工厂运营访问，证明该时点存在生产经营活动；该记录与早期东南苏拉威西厂址资料可能涉及地点差异，法人设施映射仍需核。,印尼国会2021现场记录,https://berkas.dpr.go.id/pemberitaan/buletin-parlementaria/b-1145-4-2021.pdf
